CGAIdent,HUKSegment
1385,Restaurants
1386,GPGF
1387,GPGF
1388,Premium Local
1390,Premium Local
1392,Premium Local
1393,Premium Local
1394,GPGF
1396,Premium Local
1400,Restaurants
1403,Clubland
1411,Family Pub Dining
1414,Clubland
1415,Clubland
1419,Family Pub Dining
1424,Family Pub Dining
1426,Restaurants
1430,Clubland
1436,Community Pub
1437,Community Pub
1438,Hotel
1439,Premium Local
1445,Casual Dining
1446,Restaurants
1447,Clubland
1448,GPGF
1450,Sports Clubs
1451,Restaurants
1454,Large Venue
1455,Sports Clubs
1457,GPGF
1460,Clubland
1461,Sports Clubs
1463,Premium Local
1464,ABOS
1466,GPGF
1467,Clubland
1468,GPGF
1469,Premium Local
1474,Large Venue
1476,Premium Local
1477,Restaurants
1478,Premium Local
1479,Premium Local
1480,GPGF
1481,Clubland
1482,GPGF
1483,GPGF
1485,Family Pub Dining
1486,Premium Local
1488,Restaurants
1492,Family Pub Dining
1494,Premium Local
1496,Premium Local
1499,Sports Clubs
1500,Restaurants
1501,GPGF
1502,ABOS
1503,Sports Clubs
1506,Sports Clubs
1507,Premium Local
1508,Premium Local
1509,GPGF
1510,Sports Clubs
1514,Large Venue
1517,Circuit Bar
1518,Night Club
1519,Circuit Bar
1522,Casual Dining
1523,Circuit Bar
1525,Large Venue
1527,Family Pub Dining
1530,Hotel
1533,Circuit Bar
1534,Circuit Bar
1535,ABOS
1538,High Street Pub
1542,ABOS
1545,Clubland
1548,Night Club
1550,Family Pub Dining
1551,Night Club
1552,ABOS
1553,Large Venue
1554,GPGF
1557,Large Venue
1560,Family Pub Dining
1564,Restaurants
1573,Restaurants
1579,Restaurants
1581,Large Venue
1584,Clubland
1586,Clubland
1591,Restaurants
1594,Clubland
1596,Clubland
1597,Clubland
1599,Clubland
1606,Large Venue
1610,Community Pub
1611,Clubland
1617,Family Pub Dining
1619,Clubland
1621,Family Pub Dining
1640,Community Pub
1648,Hotel
1650,Community Pub
1651,Community Pub
1652,Family Pub Dining
1655,Community Pub
1663,Community Pub
1683,High Street Pub
1687,Community Pub
1692,Large Venue
1695,Clubland
1699,Circuit Bar
1702,Family Pub Dining
1703,Clubland
1710,Family Pub Dining
1712,Circuit Bar
1716,Restaurants
1717,Premium Local
1718,Circuit Bar
1720,Restaurants
1721,Family Pub Dining
1724,Premium Local
1727,Clubland
1730,GPGF
1731,Family Pub Dining
1732,Clubland
1735,Clubland
1738,High Street Pub
1744,Clubland
1746,Community Pub
1747,Clubland
1753,Clubland
1755,Community Pub
1756,Clubland
1758,Family Pub Dining
1761,Restaurants
1763,Restaurants
1764,Clubland
1766,Circuit Bar
1767,Circuit Bar
1768,Family Pub Dining
1770,Restaurants
1776,Family Pub Dining
1784,Night Club
1786,Family Pub Dining
1787,Hotel
1794,Large Venue
1795,Hotel
1797,Clubland
1798,ABOS
1800,Family Pub Dining
1801,Sports Clubs
1805,Hotel
1806,Large Venue
1807,Circuit Bar
1808,Clubland
1809,Clubland
1810,Clubland
1812,Large Venue
1813,GPGF
1814,Casual Dining
1817,Clubland
1818,Large Venue
1821,Clubland
1826,Community Pub
1829,High Street Pub
1830,Restaurants
1831,Hotel
1836,Premium Local
1839,Clubland
1840,Community Pub
1844,Clubland
1849,Clubland
1850,Large Venue
1851,Casual Dining
1852,Hotel
1854,Hotel
1855,Family Pub Dining
1856,Restaurants
1860,Restaurants
1861,Hotel
1862,Hotel
1863,GPGF
1864,Family Pub Dining
1868,Family Pub Dining
1873,Clubland
1874,GPGF
1875,Premium Local
1876,Clubland
1877,Circuit Bar
1878,Circuit Bar
1880,Restaurants
1881,ABOS
1884,GPGF
1888,Hotel
1890,ABOS
1896,Clubland
1897,Clubland
1901,GPGF
1902,Circuit Bar
1903,Family Pub Dining
1904,GPGF
1906,Restaurants
1907,Premium Local
1911,Clubland
1925,Restaurants
1927,Night Club
1932,Community Pub
1934,Community Pub
1936,Community Pub
1938,High Street Pub
1939,Family Pub Dining
1940,Community Pub
1942,Community Pub
1943,Community Pub
1944,High Street Pub
1946,Family Pub Dining
1952,Community Pub
1971,Clubland
1999,Restaurants
2000,High Street Pub
2003,Clubland
2005,Sports Clubs
2007,Community Pub
2012,Circuit Bar
2014,Circuit Bar
2015,Hotel
2026,Casual Dining
2029,Circuit Bar
2030,Family Pub Dining
2032,ABOS
2035,ABOS
2040,Restaurants
2042,Circuit Bar
2045,Clubland
2047,Community Pub
2049,Clubland
2050,Clubland
2051,Clubland
2053,Community Pub
2054,Community Pub
2057,Clubland
2068,Clubland
2077,Community Pub
2083,Large Venue
2098,Community Pub
2099,Clubland
2100,Family Pub Dining
2121,Family Pub Dining
2122,Clubland
2124,Large Venue
2137,Clubland
2141,Clubland
2142,Community Pub
2145,Family Pub Dining
2147,Clubland
2153,Clubland
2156,Family Pub Dining
2157,GPGF
2162,Circuit Bar
2164,Large Venue
2167,Clubland
2168,Hotel
2169,Community Pub
2170,Restaurants
2172,Clubland
2184,Clubland
2185,Community Pub
2186,Clubland
2190,Clubland
2191,Family Pub Dining
2201,Community Pub
2202,Family Pub Dining
2208,Family Pub Dining
2209,Clubland
2211,Clubland
2215,Family Pub Dining
2218,Family Pub Dining
2220,Restaurants
2221,Restaurants
2222,Large Venue
2223,Family Pub Dining
2224,Community Pub
2231,Family Pub Dining
2232,Clubland
2233,Community Pub
2238,Community Pub
2241,Hotel
2245,Clubland
2254,Clubland
2256,Restaurants
2257,Large Venue
2258,Hotel
2260,Circuit Bar
2264,Clubland
2265,Large Venue
2268,Premium Local
2271,Clubland
2272,Family Pub Dining
2274,Restaurants
2275,Hotel
2279,Community Pub
2280,Clubland
2292,Clubland
2293,Clubland
2295,Community Pub
2300,Hotel
2303,Family Pub Dining
2304,Restaurants
2306,Clubland
2307,Family Pub Dining
2309,Clubland
2313,Circuit Bar
2320,Family Pub Dining
2324,ABOS
2325,ABOS
2326,ABOS
2328,ABOS
2330,ABOS
2331,Family Pub Dining
2332,ABOS
2333,Hotel
2334,Restaurants
2335,Night Club
2338,ABOS
2339,ABOS
2350,Restaurants
2357,Hotel
2359,Clubland
2360,Restaurants
2362,Clubland
2364,Clubland
2365,Family Pub Dining
2367,High Street Pub
2371,Clubland
2386,High Street Pub
2389,Community Pub
2391,Restaurants
2394,ABOS
2396,Hotel
2399,Hotel
2402,Circuit Bar
2405,Clubland
2408,Clubland
2409,Clubland
2410,Clubland
2414,Clubland
2416,Community Pub
2418,Family Pub Dining
2420,Clubland
2421,Community Pub
2433,Clubland
2435,Community Pub
2438,Family Pub Dining
2441,Family Pub Dining
2442,Restaurants
2443,Family Pub Dining
2445,Clubland
2446,Community Pub
2449,Clubland
2450,Clubland
2452,Clubland
2457,Clubland
2458,GPGF
2466,Clubland
2472,Clubland
2473,Community Pub
2474,Clubland
2480,Clubland
2481,Community Pub
2485,High Street Pub
2487,Clubland
2489,Restaurants
2491,Family Pub Dining
2492,Community Pub
2493,Clubland
2498,Clubland
2501,Family Pub Dining
2507,Clubland
2514,Clubland
2515,Restaurants
2516,Circuit Bar
2517,Family Pub Dining
2519,Community Pub
2521,Clubland
2522,Clubland
2526,Restaurants
2527,Family Pub Dining
2530,Clubland
2535,Clubland
2536,Casual Dining
2538,Clubland
2539,Clubland
2540,Large Venue
2541,Community Pub
2542,Clubland
2543,Large Venue
2544,Clubland
2546,Night Club
2548,Clubland
2550,Clubland
2551,Clubland
2556,Clubland
2557,Family Pub Dining
2562,Community Pub
2563,Clubland
2564,Clubland
2567,High Street Pub
2568,Family Pub Dining
2570,Clubland
2574,Clubland
2576,Hotel
2578,Community Pub
2583,Community Pub
2585,Clubland
2588,Family Pub Dining
2589,Clubland
2591,Community Pub
2592,Clubland
2595,Family Pub Dining
2596,Community Pub
2599,Family Pub Dining
2601,High Street Pub
2608,Circuit Bar
2609,Circuit Bar
2611,ABOS
2618,Premium Local
2619,Premium Local
2622,Circuit Bar
2630,Large Venue
2633,Circuit Bar
2635,Circuit Bar
2637,High Street Pub
2642,Premium Local
2645,Large Venue
2647,Hotel
2652,Clubland
2653,Large Venue
2654,Community Pub
2655,Family Pub Dining
2656,Clubland
2658,Premium Local
2659,Circuit Bar
2660,Family Pub Dining
2661,Clubland
2664,Family Pub Dining
2665,Clubland
2666,Premium Local
2672,Clubland
2676,Circuit Bar
2679,Circuit Bar
2680,Clubland
2681,Family Pub Dining
2682,Hotel
2684,Clubland
2686,Restaurants
2687,High Street Pub
2688,Family Pub Dining
2689,Clubland
2690,Hotel
2692,Premium Local
2693,Circuit Bar
2694,Family Pub Dining
2696,Restaurants
2700,Clubland
2702,Clubland
2705,Clubland
2707,Community Pub
2708,Restaurants
2709,Family Pub Dining
2711,Clubland
2713,Family Pub Dining
2715,Large Venue
2717,Clubland
2718,Community Pub
2724,Community Pub
2726,Community Pub
2727,Community Pub
2728,Community Pub
2729,Clubland
2730,Clubland
2733,Clubland
2734,Clubland
2735,Clubland
2736,Family Pub Dining
2737,Family Pub Dining
2738,High Street Pub
2740,Family Pub Dining
2741,Community Pub
2742,Family Pub Dining
2749,Clubland
2750,Community Pub
2751,Clubland
2753,Clubland
2754,Community Pub
2757,Restaurants
2758,Restaurants
2761,Premium Local
2764,Clubland
2768,Premium Local
2773,GPGF
2774,Family Pub Dining
2776,Family Pub Dining
2778,Clubland
2779,Premium Local
2780,Premium Local
2781,Premium Local
2783,Family Pub Dining
2784,Premium Local
2785,Family Pub Dining
2786,Premium Local
2787,Clubland
2788,Clubland
2793,Family Pub Dining
2795,Family Pub Dining
2796,Clubland
2797,Clubland
2800,Family Pub Dining
2801,Sports Clubs
2804,Sports Clubs
2806,Family Pub Dining
2807,Clubland
2808,Clubland
2810,Sports Clubs
2811,GPGF
2815,Clubland
2817,GPGF
2818,Sports Clubs
2820,Clubland
2822,Restaurants
2823,GPGF
2824,GPGF
2826,Premium Local
2827,Sports Clubs
2828,Premium Local
2829,Hotel
2830,Sports Clubs
2832,Clubland
2833,Family Pub Dining
2837,Family Pub Dining
2838,Clubland
2839,Circuit Bar
2842,Circuit Bar
2843,Family Pub Dining
2848,Restaurants
2851,Hotel
2854,Large Venue
2855,GPGF
2856,Family Pub Dining
2858,Clubland
2860,Hotel
2861,GPGF
2863,Clubland
2864,Premium Local
2871,Hotel
2872,GPGF
2873,Family Pub Dining
2889,High Street Pub
2891,Restaurants
2893,Circuit Bar
2901,Restaurants
2902,Circuit Bar
2903,High Street Pub
2905,High Street Pub
2906,Hotel
2909,Restaurants
2910,Hotel
2915,High Street Pub
2916,Restaurants
2924,Restaurants
2928,Night Club
2929,Restaurants
2930,Circuit Bar
2932,Night Club
2940,High Street Pub
2941,Night Club
2944,Restaurants
2946,High Street Pub
2947,Circuit Bar
2948,High Street Pub
2949,Community Pub
2950,High Street Pub
2954,Premium Local
2955,Large Venue
2956,High Street Pub
2957,Community Pub
2964,Community Pub
2967,Restaurants
2968,High Street Pub
2970,Community Pub
2979,Community Pub
2983,Premium Local
2986,Large Venue
2991,Premium Local
2992,Restaurants
2994,Premium Local
2998,Clubland
3001,Premium Local
3002,Family Pub Dining
3004,Premium Local
3005,Clubland
3013,Community Pub
3020,Community Pub
3027,Community Pub
3034,Large Venue
3039,Clubland
3045,Community Pub
3046,Clubland
3047,Community Pub
3049,Community Pub
3051,Family Pub Dining
3067,Clubland
3068,Restaurants
3072,Sports Clubs
3076,Hotel
3078,GPGF
3079,Clubland
3080,Clubland
3081,Clubland
3083,Clubland
3085,Clubland
3087,Premium Local
3088,Premium Local
3089,GPGF
3090,GPGF
3092,Premium Local
3097,Premium Local
3098,Premium Local
3100,Premium Local
3101,Family Pub Dining
3102,Premium Local
3103,Premium Local
3109,Premium Local
3110,Premium Local
3111,Clubland
3114,Restaurants
3116,Clubland
3118,Community Pub
3119,Family Pub Dining
3120,Night Club
3122,Circuit Bar
3123,Family Pub Dining
3124,Clubland
3126,High Street Pub
3129,Hotel
3133,Hotel
3135,Clubland
3137,Circuit Bar
3138,Clubland
3140,GPGF
3142,Circuit Bar
3145,Clubland
3146,Circuit Bar
3148,Hotel
3149,Family Pub Dining
3150,Family Pub Dining
3151,Family Pub Dining
3153,Family Pub Dining
3154,Clubland
3155,Family Pub Dining
3156,Clubland
3157,Premium Local
3160,Family Pub Dining
3161,Premium Local
3162,Family Pub Dining
3163,GPGF
3166,Premium Local
3170,Clubland
3173,Clubland
3174,GPGF
3175,Clubland
3177,Clubland
3179,Family Pub Dining
3182,Premium Local
3183,Premium Local
3184,Casual Dining
3185,Community Pub
3186,Clubland
3187,Clubland
3189,Premium Local
3193,Community Pub
3195,Community Pub
3196,Community Pub
3197,Family Pub Dining
3200,Community Pub
3204,Clubland
3206,Family Pub Dining
3209,Clubland
3210,Family Pub Dining
3211,Community Pub
3214,Clubland
3217,Community Pub
3220,Family Pub Dining
3221,Large Venue
3222,High Street Pub
3224,Clubland
3225,Clubland
3226,High Street Pub
3229,Clubland
3232,Clubland
3233,Family Pub Dining
3237,Family Pub Dining
3238,Clubland
3239,Community Pub
3241,Restaurants
3242,Premium Local
3244,Clubland
3248,Community Pub
3250,Community Pub
3251,Clubland
3256,Restaurants
3258,Large Venue
3262,Clubland
3267,GPGF
3283,GPGF
3285,High Street Pub
3289,High Street Pub
3290,Community Pub
3292,Family Pub Dining
3295,Clubland
3297,Community Pub
3298,Community Pub
3305,High Street Pub
3306,Hotel
3310,Clubland
3311,Clubland
3313,Community Pub
3317,Family Pub Dining
3318,Community Pub
3326,High Street Pub
3327,High Street Pub
3328,Clubland
3330,Clubland
3331,High Street Pub
3332,High Street Pub
3334,Community Pub
3341,High Street Pub
3343,High Street Pub
3345,Clubland
3346,Family Pub Dining
3348,Community Pub
3351,Clubland
3353,Community Pub
3360,Clubland
3361,Clubland
3362,Clubland
3363,Community Pub
3364,Community Pub
3366,Restaurants
3367,Community Pub
3369,Clubland
3373,Community Pub
3377,High Street Pub
3379,Community Pub
3403,High Street Pub
3406,Clubland
3408,Family Pub Dining
3409,Clubland
3410,Restaurants
3413,Community Pub
3414,Clubland
3419,Restaurants
3421,Circuit Bar
3422,Casual Dining
3424,Clubland
3425,High Street Pub
3428,Family Pub Dining
3433,Family Pub Dining
3434,Community Pub
3435,Family Pub Dining
3437,High Street Pub
3440,Clubland
3441,Clubland
3442,Clubland
3444,Family Pub Dining
3445,Family Pub Dining
3447,Family Pub Dining
3448,Restaurants
3449,Family Pub Dining
3451,Family Pub Dining
3452,High Street Pub
3454,Community Pub
3455,Community Pub
3458,Clubland
3459,Clubland
3462,Premium Local
3464,Clubland
3466,Family Pub Dining
3470,Clubland
3471,Clubland
3474,Family Pub Dining
3475,Restaurants
3477,Clubland
3478,Clubland
3479,Community Pub
3482,Family Pub Dining
3487,Community Pub
3488,Community Pub
3490,Community Pub
3497,Clubland
3498,Restaurants
3502,Community Pub
3504,Community Pub
3505,Circuit Bar
3506,Family Pub Dining
3508,Community Pub
3520,Restaurants
3524,Community Pub
3526,Restaurants
3528,Night Club
3531,Community Pub
3532,Community Pub
3533,Clubland
3534,Restaurants
3538,Family Pub Dining
3553,Community Pub
3554,Community Pub
3555,Community Pub
3559,Community Pub
3560,Clubland
3569,Community Pub
3572,Clubland
3576,Community Pub
3580,Restaurants
3581,Family Pub Dining
3582,Community Pub
3585,Community Pub
3586,Community Pub
3587,Community Pub
3590,High Street Pub
3592,Family Pub Dining
3594,Clubland
3597,High Street Pub
3600,Clubland
3601,Family Pub Dining
3603,Hotel
3608,High Street Pub
3613,Clubland
3614,Community Pub
3620,High Street Pub
3627,Circuit Bar
3633,Community Pub
3634,Clubland
3636,Clubland
3639,High Street Pub
3640,High Street Pub
3644,Clubland
3646,Family Pub Dining
3651,Community Pub
3652,Family Pub Dining
3657,Community Pub
3658,Clubland
3661,Clubland
3666,Community Pub
3667,Restaurants
3669,Community Pub
3674,Community Pub
3675,Community Pub
3676,Community Pub
3680,Community Pub
3681,Community Pub
3683,Large Venue
3685,Community Pub
3687,Community Pub
3688,Family Pub Dining
3689,Clubland
3692,Restaurants
3693,Clubland
3695,Community Pub
3696,Community Pub
3697,Clubland
3699,Restaurants
3702,Community Pub
3704,Clubland
3707,Community Pub
3709,Clubland
3717,Hotel
3718,Sports Clubs
3719,Clubland
3720,GPGF
3723,Sports Clubs
3727,ABOS
3728,Restaurants
3731,Large Venue
3732,Sports Clubs
3744,GPGF
3746,Restaurants
3748,Community Pub
3749,ABOS
3751,Large Venue
3752,Premium Local
3754,Clubland
3756,GPGF
3759,Clubland
3760,Clubland
3761,Clubland
3764,GPGF
3765,Family Pub Dining
3766,Restaurants
3767,Large Venue
3769,Restaurants
